Notif.date,Notification,Notification type,Functional Loc.,Equipments,Equipment Category,Description,Description Category,Main WorkCtr,Department,System status,Priority,Maintenance Days,Equipment Age (days),Predicted Maintenance Days
2024-02-14,150638720,G3,9010-032-AI-001,AI,Instrumentation,WATER ANALYZER PM JOB,general,007INST,Instrumentation,NOPR ORAS,-,1,329,4
2024-02-14,150638722,G3,9010-032-AI-002,AI,Instrumentation,WATER ANALYZER PM JOB,general,007INST,Instrumentation,NOCO,-,1,329,2
2024-02-14,150638725,G3,9010-032-AI-003,AI,Instrumentation,WATER ANALYZER PM JOB,general,007INST,Instrumentation,NOCO,-,1,329,3
2024-02-14,150638779,G3,9010-057-P-01B,P,Miscellaneous,PM JOBS FOR 9010-057-P-01B,general,057MECH,Mechanical,NOCO ORAS,-,7,323,10
2024-02-14,150638796,G3,9010-011-AT-BL6-SPM,AT,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638797,G3,9010-011-AT-BL6-SPM,AT,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638798,G3,9010-011-AT-BL6-SPM,AT,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638799,G3,9010-011-AT-BL6-SPM,AT,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638800,G3,9010-011-AT-BL6-SPM,AT,Miscellaneous,WATER ANALYZER PM JOB,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638801,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638802,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638803,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638804,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638805,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638806,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638807,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638808,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638809,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638810,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638811,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638812,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638813,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638814,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638815,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638816,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638817,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638818,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638819,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638820,G3,9010-011-BL-06-AT610,BL,Miscellaneous,ANALYZER PM JOB OF O2,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
